description,year,name,region,on_churchill,on_map,region_edited
"
              To study methods for improving the 'hands-on' teaching of science, engineering and technology education from primary school to university - Finland, Sweden, Norway, USA
            ",2007,"LEON DE LA BARRA, Bernardo",Finland,yes,yes,yes
"
              To study methods for improving the 'hands-on' teaching of science, engineering and technology education from primary school to university - Finland, Sweden, Norway, USA
            ",2007,"LEON DE LA BARRA, Bernardo",Sweden,yes,yes,yes
"
              To study methods for improving the 'hands-on' teaching of science, engineering and technology education from primary school to university - Finland, Sweden, Norway, USA
            ",2007,"LEON DE LA BARRA, Bernardo",Norway,yes,yes,yes
"
              To study methods for improving the 'hands-on' teaching of science, engineering and technology education from primary school to university - Finland, Sweden, Norway, USA
            ",2007,"LEON DE LA BARRA, Bernardo",USA,yes,yes,yes
"
              To investigate less restrictive practices for managing clients in an acute inpatient mental health setting - USA
            ",2007,"LIERSCH, Susan",USA,yes,yes,yes
"
              To identify techniques to better manage the late effects of polio - USA, Canada
            ",2007,"LIETHOF, Mary-ann",USA,yes,yes,yes
"
              To identify techniques to better manage the late effects of polio - USA, Canada
            ",2007,"LIETHOF, Mary-ann",Canada,yes,yes,yes
"
              To examine arts and cultural programs which have provided opportunities for regional and remote communities to access and participate in the arts - U.K., Canada, USA
            ",2007,"LLOYD AM, Kenneth",UK,yes,yes,yes
"
              To examine arts and cultural programs which have provided opportunities for regional and remote communities to access and participate in the arts - U.K., Canada, USA
            ",2007,"LLOYD AM, Kenneth",Canada,yes,yes,yes
"
              To examine arts and cultural programs which have provided opportunities for regional and remote communities to access and participate in the arts - U.K., Canada, USA
            ",2007,"LLOYD AM, Kenneth",USA,yes,yes,yes
"
              To study pro-bono legal, business and advocacy services for not-for-profit community organisations - USA
            ",2007,"LOVETT, Tabitha",USA,yes,yes,yes
"
              To investigate the most cost effective and efficient ways to remove and recycle ghost nets and other marine debris from the environment - USA
            ",2007,"LUCHI, Gary ",USA,yes,yes,yes
"
              To study sustainable management systems and markets for recovered waste materials - New Zealand, Sri Lanka, Ireland, Canada
            ",2007,"MacKEEN, Debra",New Zealand,yes,yes,yes
"
              To study sustainable management systems and markets for recovered waste materials - New Zealand, Sri Lanka, Ireland, Canada
            ",2007,"MacKEEN, Debra",Sri Lanka,yes,yes,yes
"
              To study sustainable management systems and markets for recovered waste materials - New Zealand, Sri Lanka, Ireland, Canada
            ",2007,"MacKEEN, Debra",Ireland,yes,yes,yes
"
              To study sustainable management systems and markets for recovered waste materials - New Zealand, Sri Lanka, Ireland, Canada
            ",2007,"MacKEEN, Debra",Canada,yes,yes,yes
"
              To examine programs that achieve positive outcomes for children placed with relatives or kin as a result of child protection intervention - USA, Canada, U.K.
            ",2007,"MACKIEWICZ, Pauline",USA,yes,yes,yes
"
              To examine programs that achieve positive outcomes for children placed with relatives or kin as a result of child protection intervention - USA, Canada, U.K.
            ",2007,"MACKIEWICZ, Pauline",Canada,yes,yes,yes
"
              To examine programs that achieve positive outcomes for children placed with relatives or kin as a result of child protection intervention - USA, Canada, U.K.
            ",2007,"MACKIEWICZ, Pauline",UK,yes,yes,yes
"
              To investigate visitor education in historic cemeteries - U.K., France
            ",2007,"MacLEAN, Hilda",UK,yes,yes,yes
"
              To investigate visitor education in historic cemeteries - U.K., France
            ",2007,"MacLEAN, Hilda",France,yes,yes,yes
"
              To study spiritual care of the bereaved through life review programs - USA, U.K., Italy
            ",2007,"MADDOX, Cath",USA,yes,yes,yes
"
              To study spiritual care of the bereaved through life review programs - USA, U.K., Italy
            ",2007,"MADDOX, Cath",UK,yes,yes,yes
"
              To study spiritual care of the bereaved through life review programs - USA, U.K., Italy
            ",2007,"MADDOX, Cath",Italy,yes,yes,yes
"
              To study the development of regional creative economies with an emphasis on urban design - Canada, USA, U.K., Spain
            ",2007,"MALONE, Sally",Canada,yes,yes,yes
"
              To study the development of regional creative economies with an emphasis on urban design - Canada, USA, U.K., Spain
            ",2007,"MALONE, Sally",USA,yes,yes,yes
"
              To study the development of regional creative economies with an emphasis on urban design - Canada, USA, U.K., Spain
            ",2007,"MALONE, Sally",UK,yes,yes,yes
"
              To study the development of regional creative economies with an emphasis on urban design - Canada, USA, U.K., Spain
            ",2007,"MALONE, Sally",Spain,yes,yes,yes
"
              To investigate accessible dance theatre performances to boost Australian dance audiences - U.K., Germany, Denmark, Canada, USA
            ",2007,"McCARTHY, Cadi",UK,yes,yes,yes
"
              To investigate accessible dance theatre performances to boost Australian dance audiences - U.K., Germany, Denmark, Canada, USA
            ",2007,"McCARTHY, Cadi",Germany,yes,yes,yes
"
              To investigate accessible dance theatre performances to boost Australian dance audiences - U.K., Germany, Denmark, Canada, USA
            ",2007,"McCARTHY, Cadi",Denmark,yes,yes,yes
"
              To investigate accessible dance theatre performances to boost Australian dance audiences - U.K., Germany, Denmark, Canada, USA
            ",2007,"McCARTHY, Cadi",Canada,yes,yes,yes
"
              To investigate accessible dance theatre performances to boost Australian dance audiences - U.K., Germany, Denmark, Canada, USA
            ",2007,"McCARTHY, Cadi",USA,yes,yes,yes
"
              To study band instrument repair, construction and tool manufacture - China, Japan, USA
            ",2007,"McELVOGUE, Tom",China,yes,yes,yes
"
              To study band instrument repair, construction and tool manufacture - China, Japan, USA
            ",2007,"McELVOGUE, Tom",Japan,yes,yes,yes
"
              To study band instrument repair, construction and tool manufacture - China, Japan, USA
            ",2007,"McELVOGUE, Tom",USA,yes,yes,yes
"
              To investigate the use of Spatial Technology for implementation in schools - Hong Kong, USA, Canada, U.K.
            ",2007,"McINERNEY, Malcolm",USA,yes,yes,yes
"
              To investigate the use of Spatial Technology for implementation in schools - Hong Kong, USA, Canada, U.K.
            ",2007,"McINERNEY, Malcolm",Canada,yes,yes,yes
"
              To investigate the use of Spatial Technology for implementation in schools - Hong Kong, USA, Canada, U.K.
            ",2007,"McINERNEY, Malcolm",UK,yes,yes,yes
"
              The Dr Dorothea Sandars Churchill Fellowship to study innovative laboratory techniques for the detection of micro-organisms that commonly cause epidemics of gastroenteritis in the community - USA
            ",2007,"McIVER, Christopher",USA,yes,yes,yes
"
              To research programs and strategies for assisting refugees into the workplace - USA, Canada, U.K.
            ",2007,"McKAY, Amanda",USA,yes,yes,yes
"
              To research programs and strategies for assisting refugees into the workplace - USA, Canada, U.K.
            ",2007,"McKAY, Amanda",Canada,yes,yes,yes
"
              To research programs and strategies for assisting refugees into the workplace - USA, Canada, U.K.
            ",2007,"McKAY, Amanda",UK,yes,yes,yes
"
              To study current advances in ear identification and their application in Australia - Belgium, Netherlands, UK, France
            ",2007,"MESSAIKE, Elias",Belgium,yes,yes,yes
"
              To study current advances in ear identification and their application in Australia - Belgium, Netherlands, UK, France
            ",2007,"MESSAIKE, Elias",Netherlands,yes,yes,yes
"
              To study current advances in ear identification and their application in Australia - Belgium, Netherlands, UK, France
            ",2007,"MESSAIKE, Elias",UK,yes,yes,yes
"
              To study current advances in ear identification and their application in Australia - Belgium, Netherlands, UK, France
            ",2007,"MESSAIKE, Elias",France,yes,yes,yes
"
              The A.V. Jennings Churchill Fellowship to study design aspects relating to indoor environment quality and healthy buildings - Denmark, USA, Germany, U.K.
            ",2007,"MOSS, Alisa",Denmark,yes,yes,yes
"
              The A.V. Jennings Churchill Fellowship to study design aspects relating to indoor environment quality and healthy buildings - Denmark, USA, Germany, U.K.
            ",2007,"MOSS, Alisa",USA,yes,yes,yes
"
              The A.V. Jennings Churchill Fellowship to study design aspects relating to indoor environment quality and healthy buildings - Denmark, USA, Germany, U.K.
            ",2007,"MOSS, Alisa",Germany,yes,yes,yes
"
              The A.V. Jennings Churchill Fellowship to study design aspects relating to indoor environment quality and healthy buildings - Denmark, USA, Germany, U.K.
            ",2007,"MOSS, Alisa",UK,yes,yes,yes
"
              To research philanthropic programs in overseas cultural institutions and zoos - U.K., USA
            ",2007,"NAIDOO, Shanthini",UK,yes,yes,yes
"
              To research philanthropic programs in overseas cultural institutions and zoos - U.K., USA
            ",2007,"NAIDOO, Shanthini",USA,yes,yes,yes
"
              To investigate the development of hospital-substitution and early discharge allied health services - UK, Sweden, Norway, Italy
            ",2007,"NEWTON (NOW DOYLE), Nicki",UK,yes,yes,yes
"
              To investigate the development of hospital-substitution and early discharge allied health services - UK, Sweden, Norway, Italy
            ",2007,"NEWTON (NOW DOYLE), Nicki",Sweden,yes,yes,yes
"
              To investigate the development of hospital-substitution and early discharge allied health services - UK, Sweden, Norway, Italy
            ",2007,"NEWTON (NOW DOYLE), Nicki",Norway,yes,yes,yes
"
              To investigate the development of hospital-substitution and early discharge allied health services - UK, Sweden, Norway, Italy
            ",2007,"NEWTON (NOW DOYLE), Nicki",Italy,yes,yes,yes
"
              To study Park Ranger induction and initial training programs - U.K., Canada, USA, Argentina
            ",2007,"NIXON, Andrew",UK,yes,yes,yes
"
              To study Park Ranger induction and initial training programs - U.K., Canada, USA, Argentina
            ",2007,"NIXON, Andrew",Canada,yes,yes,yes
"
              To study Park Ranger induction and initial training programs - U.K., Canada, USA, Argentina
            ",2007,"NIXON, Andrew",USA,yes,yes,yes
"
              To study Park Ranger induction and initial training programs - U.K., Canada, USA, Argentina
            ",2007,"NIXON, Andrew",Argentina,yes,yes,yes
"
              To study the techniques used by traditional coach building firms to design and fabricate the bodywork on vintage and classic cars - U.K., Italy, France, Germany
            ",2007,"NUGENT, Mark",UK,yes,yes,yes
"
              To study the techniques used by traditional coach building firms to design and fabricate the bodywork on vintage and classic cars - U.K., Italy, France, Germany
            ",2007,"NUGENT, Mark",Italy,yes,yes,yes
"
              To study the techniques used by traditional coach building firms to design and fabricate the bodywork on vintage and classic cars - U.K., Italy, France, Germany
            ",2007,"NUGENT, Mark",France,yes,yes,yes
"
              To study the techniques used by traditional coach building firms to design and fabricate the bodywork on vintage and classic cars - U.K., Italy, France, Germany
            ",2007,"NUGENT, Mark",Germany,yes,yes,yes
"
              To study the potential for integrating livestock behaviour into genetic improvement programs - USA, Brazil, France, U.K.
            ",2007,"O'NEILL, Christopher",USA,yes,yes,yes
"
              To study the potential for integrating livestock behaviour into genetic improvement programs - USA, Brazil, France, U.K.
            ",2007,"O'NEILL, Christopher",Brazil,yes,yes,yes
"
              To study the potential for integrating livestock behaviour into genetic improvement programs - USA, Brazil, France, U.K.
            ",2007,"O'NEILL, Christopher",France,yes,yes,yes
"
              To study the potential for integrating livestock behaviour into genetic improvement programs - USA, Brazil, France, U.K.
            ",2007,"O'NEILL, Christopher",UK,yes,yes,yes
"
              To investigate successful Indigenous and government cooperative projects and research - Canada, USA, New Zealand
            ",2007,"ORCHER, Jody",Canada,yes,yes,yes
"
              To investigate successful Indigenous and government cooperative projects and research - Canada, USA, New Zealand
            ",2007,"ORCHER, Jody",USA,yes,yes,yes
"
              To investigate successful Indigenous and government cooperative projects and research - Canada, USA, New Zealand
            ",2007,"ORCHER, Jody",New Zealand,yes,yes,yes
"
              The Jack Brockhoff Foundation Churchill Fellowship to improve age-specific care for adolescent and young adult cancer patients - U.K., USA
            ",2007,"PALMER, Susan",UK,yes,yes,yes
"
              The Jack Brockhoff Foundation Churchill Fellowship to improve age-specific care for adolescent and young adult cancer patients - U.K., USA
            ",2007,"PALMER, Susan",USA,yes,yes,yes
"
              To study activity programs that improve health inequalities in disadvantaged communities - U.K., South Africa, USA
            ",2007,"PANOZZO, Adrian",UK,yes,yes,yes
"
              To study activity programs that improve health inequalities in disadvantaged communities - U.K., South Africa, USA
            ",2007,"PANOZZO, Adrian",South Africa,yes,yes,yes
"
              To study activity programs that improve health inequalities in disadvantaged communities - U.K., South Africa, USA
            ",2007,"PANOZZO, Adrian",USA,yes,yes,yes
"
              To examine methods for combating the unlawful exploitation of fisheries resources - Canada, USA
            ",2007,"PARKS, Ian",Canada,yes,yes,yes
"
              To examine methods for combating the unlawful exploitation of fisheries resources - Canada, USA
            ",2007,"PARKS, Ian",USA,yes,yes,yes
"
              The Australia-China Council Churchill Fellowship to identify strategies for implementing cultural education and learning of the arts through inclusive systems for dance in Asia - China, Hong Kong, Taiwan, Singapore
            ",2007,"PHILLIPS, Amanda",China,yes,yes,yes
"
              The Australia-China Council Churchill Fellowship to identify strategies for implementing cultural education and learning of the arts through inclusive systems for dance in Asia - China, Hong Kong, Taiwan, Singapore
            ",2007,"PHILLIPS, Amanda",Taiwan,yes,yes,yes
"
              The Australia-China Council Churchill Fellowship to identify strategies for implementing cultural education and learning of the arts through inclusive systems for dance in Asia - China, Hong Kong, Taiwan, Singapore
            ",2007,"PHILLIPS, Amanda",Singapore,yes,yes,yes
"
              To undertake cello performance master-classes and workshops - Germany, Austria, Netherlands, Switzerland
            ",2007,"PIDCOCK, Christopher",Germany,yes,yes,yes
"
              To undertake cello performance master-classes and workshops - Germany, Austria, Netherlands, Switzerland
            ",2007,"PIDCOCK, Christopher",Austria,yes,yes,yes
"
              To undertake cello performance master-classes and workshops - Germany, Austria, Netherlands, Switzerland
            ",2007,"PIDCOCK, Christopher",Netherlands,yes,yes,yes
"
              To undertake cello performance master-classes and workshops - Germany, Austria, Netherlands, Switzerland
            ",2007,"PIDCOCK, Christopher",Switzerland,yes,yes,yes
"
              The Quicksilver Connections Churchill Fellowship to study stable isotope methodologies and advanced technologies to further understanding of the trophic links between corals and fish - U.K.
            ",2007,"PRATCHETT, Morgan",UK,yes,yes,yes
"
              The Samuel and Eileen Gluyas Churchill Fellowship to study commercial IVF techniques with a view to integrating these techniques into the Australian cattle industry - USA, Brazil
            ",2007,"PULLEN, Bradly",USA,yes,yes,yes
"
              The Samuel and Eileen Gluyas Churchill Fellowship to study commercial IVF techniques with a view to integrating these techniques into the Australian cattle industry - USA, Brazil
            ",2007,"PULLEN, Bradly",Brazil,yes,yes,yes
"
              To study methods of prosecuting sexual assault and violent crime offenders without victim involvement - USA, U.K.
            ",2007,"RANE, Vinay",USA,yes,yes,yes
"
              To study methods of prosecuting sexual assault and violent crime offenders without victim involvement - USA, U.K.
            ",2007,"RANE, Vinay",UK,yes,yes,yes
"
              To examine models of training provided to volunteer 'Independent Persons' who support young people through police interviews where no parent or guardian is in attendance - U.K.
            ",2007,"REID, Sally",UK,yes,yes,yes
"
              To study the recruitment and retention of rural and urban family obstetricians - Canada, USA
            ",2007,"REID, Philip",Canada,yes,yes,yes
"
              To study the recruitment and retention of rural and urban family obstetricians - Canada, USA
            ",2007,"REID, Philip",USA,yes,yes,yes
"
              To examine programs that assist vulnerable and complex chronically homeless people - USA, Canada, U.K.
            ",2007,"REYNOLDS, Felicity",USA,yes,yes,yes
"
              To examine programs that assist vulnerable and complex chronically homeless people - USA, Canada, U.K.
            ",2007,"REYNOLDS, Felicity",Canada,yes,yes,yes
"
              To examine programs that assist vulnerable and complex chronically homeless people - USA, Canada, U.K.
            ",2007,"REYNOLDS, Felicity",UK,yes,yes,yes
"
              To investigate teaching nursing home models that promote aged care provider, hospital and university collaboration - U.K., USA
            ",2007,"RIVETT, Donelle",UK,yes,yes,yes
"
              To investigate teaching nursing home models that promote aged care provider, hospital and university collaboration - U.K., USA
            ",2007,"RIVETT, Donelle",USA,yes,yes,yes
"
              To study advances in animating the body for performance on the stage and screen - USA
            ",2007,"ROBINS, Gavin",USA,yes,yes,yes
"
              To investigate Positive Behaviour Intervention and Support programs aimed at improving student behaviour and learning - USA, Canada
            ",2007,"SCHOFIELD, Jill",USA,yes,yes,yes
"
              To investigate Positive Behaviour Intervention and Support programs aimed at improving student behaviour and learning - USA, Canada
            ",2007,"SCHOFIELD, Jill",Canada,yes,yes,yes
"
              To improve anti-coagulation management in people with rheumatic heart disease - U.K., Vanuatu, New Zealand
            ",2007,"SCHUTT, Kylie",UK,yes,yes,yes
"
              To improve anti-coagulation management in people with rheumatic heart disease - U.K., Vanuatu, New Zealand
            ",2007,"SCHUTT, Kylie",Vanuatu,yes,yes,yes
"
              To improve anti-coagulation management in people with rheumatic heart disease - U.K., Vanuatu, New Zealand
            ",2007,"SCHUTT, Kylie",New Zealand,yes,yes,yes
"
              The Jack Brockhoff Foundation Churchill Fellowship to study burns surveillance, prevention and management - USA
            ",2007,"SINGER, Yvonne",USA,yes,yes,yes
"
              To study entrepreneurial philanthropy programs in international performing arts organisations - USA, U.K.
            ",2007,"SMITH, Melissa",USA,yes,yes,yes
"
              To study entrepreneurial philanthropy programs in international performing arts organisations - USA, U.K.
            ",2007,"SMITH, Melissa",UK,yes,yes,yes
"
              The Bob and June Prickett Churchill Fellowship to study the diagnosis and management of neurotransmitter function disorders in infants and children - USA, U.K.
            ",2007,"SMITH, Nicholas",USA,yes,yes,yes
"
              The Bob and June Prickett Churchill Fellowship to study the diagnosis and management of neurotransmitter function disorders in infants and children - USA, U.K.
            ",2007,"SMITH, Nicholas",UK,yes,yes,yes
"
              To establish a support network for young people living with Parkinson's - USA, U.K.
            ",2007,"SPILLARE, Amanda",USA,yes,yes,yes
"
              To establish a support network for young people living with Parkinson's - USA, U.K.
            ",2007,"SPILLARE, Amanda",UK,yes,yes,yes
"
              To study how policing organisations address rail related safety and security to provide an environment that gains community confidence - Russia, U.K., USA, Canada, Hong Kong
            ",2007,"STURGESS APM, Donna",Russia,yes,yes,yes
"
              To study how policing organisations address rail related safety and security to provide an environment that gains community confidence - Russia, U.K., USA, Canada, Hong Kong
            ",2007,"STURGESS APM, Donna",UK,yes,yes,yes
"
              To study how policing organisations address rail related safety and security to provide an environment that gains community confidence - Russia, U.K., USA, Canada, Hong Kong
            ",2007,"STURGESS APM, Donna",USA,yes,yes,yes
"
              To study how policing organisations address rail related safety and security to provide an environment that gains community confidence - Russia, U.K., USA, Canada, Hong Kong
            ",2007,"STURGESS APM, Donna",Canada,yes,yes,yes
"
              To study hybrid power systems for remote communities and towns - USA, Canada, U.K., France, Norway
            ",2007,"THOMPSON, Daniel",USA,yes,yes,yes
"
              To study hybrid power systems for remote communities and towns - USA, Canada, U.K., France, Norway
            ",2007,"THOMPSON, Daniel",Canada,yes,yes,yes
"
              To study hybrid power systems for remote communities and towns - USA, Canada, U.K., France, Norway
            ",2007,"THOMPSON, Daniel",UK,yes,yes,yes
"
              To study hybrid power systems for remote communities and towns - USA, Canada, U.K., France, Norway
            ",2007,"THOMPSON, Daniel",France,yes,yes,yes
"
              To study hybrid power systems for remote communities and towns - USA, Canada, U.K., France, Norway
            ",2007,"THOMPSON, Daniel",Norway,yes,yes,yes
"
              To study cider making culture and traditions - Germany, France, Spain, U.K., USA
            ",2007,"THOROGOOD, Anthony",Germany,yes,yes,yes
"
              To study cider making culture and traditions - Germany, France, Spain, U.K., USA
            ",2007,"THOROGOOD, Anthony",France,yes,yes,yes
"
              To study cider making culture and traditions - Germany, France, Spain, U.K., USA
            ",2007,"THOROGOOD, Anthony",Spain,yes,yes,yes
"
              To study cider making culture and traditions - Germany, France, Spain, U.K., USA
            ",2007,"THOROGOOD, Anthony",UK,yes,yes,yes
"
              To study cider making culture and traditions - Germany, France, Spain, U.K., USA
            ",2007,"THOROGOOD, Anthony",USA,yes,yes,yes
"
              To explore the use of therapeutic courts - USA
            ",2007,"TOOMBS, Dan",USA,yes,yes,yes
"
              The Vincent Fairfax Churchill Fellowship to study innovative models of care for people diagnosed with early stage dementia - U.K.
            ",2007,"WALKER, Helen",UK,yes,yes,yes
"
              The Donald Mackay Churchill Fellowship to review field-based Criminal Intelligence Training Programs - Canada, U.K.
            ",2007,"WEBSTER, Megan",Canada,yes,yes,yes
"
              The Donald Mackay Churchill Fellowship to review field-based Criminal Intelligence Training Programs - Canada, U.K.
            ",2007,"WEBSTER, Megan",UK,yes,yes,yes
"
              To compare models of practice that address inter-cultural youth violence in cities - New Zealand, USA, U.K., South Africa
            ",2007,"WESTOBY, Peter",New Zealand,yes,yes,yes
"
              To compare models of practice that address inter-cultural youth violence in cities - New Zealand, USA, U.K., South Africa
            ",2007,"WESTOBY, Peter",USA,yes,yes,yes
"
              To compare models of practice that address inter-cultural youth violence in cities - New Zealand, USA, U.K., South Africa
            ",2007,"WESTOBY, Peter",UK,yes,yes,yes
"
              To compare models of practice that address inter-cultural youth violence in cities - New Zealand, USA, U.K., South Africa
            ",2007,"WESTOBY, Peter",South Africa,yes,yes,yes
"
              To examine programs established to increase media coverage for women in sport - New Zealand, USA, UK
            ",2007,"WHITE OAM, AnneMarie",New Zealand,yes,yes,yes
"
              To examine programs established to increase media coverage for women in sport - New Zealand, USA, UK
            ",2007,"WHITE OAM, AnneMarie",USA,yes,yes,yes
"
              To examine programs established to increase media coverage for women in sport - New Zealand, USA, UK
            ",2007,"WHITE OAM, AnneMarie",UK,yes,yes,yes
"
              To study programs which support young people who self-harm - U.K.
            ",2007,"WILSON, Stephen",UK,yes,yes,yes
"
              To review environmental education programs that have been replicated at a global level - USA, U.K., Switzerland
            ",2007,"WOOD, Arron",USA,yes,yes,yes
"
              To review environmental education programs that have been replicated at a global level - USA, U.K., Switzerland
            ",2007,"WOOD, Arron",UK,yes,yes,yes
"
              To review environmental education programs that have been replicated at a global level - USA, U.K., Switzerland
            ",2007,"WOOD, Arron",Switzerland,yes,yes,yes
"
              To study the clinical assessment and treatment of older patients in their homes or in care homes - U.K., Canada
            ",2007,"WRIGHT, Douglas",UK,yes,yes,yes
"
              To study the clinical assessment and treatment of older patients in their homes or in care homes - U.K., Canada
            ",2007,"WRIGHT, Douglas",Canada,yes,yes,yes
"
              To study the impact of Accelerative Learning Techniques in schools - U.K., Canada, USA
            ",2007,"YOON, Margaret",UK,yes,yes,yes
"
              To study the impact of Accelerative Learning Techniques in schools - U.K., Canada, USA
            ",2007,"YOON, Margaret",Canada,yes,yes,yes
"
              To study the impact of Accelerative Learning Techniques in schools - U.K., Canada, USA
            ",2007,"YOON, Margaret",USA,yes,yes,yes
"
              To research traditional shoemaking skills - India
            ",2007,"ZLY, Petr",India,yes,yes,yes
"
              To study psychosocial rehabilitation/recovery mental health services - Canada, U.K., Greece, Italy
            ",2006,"ALLISTON, Christabel",Canada,yes,yes,yes
"
              To study psychosocial rehabilitation/recovery mental health services - Canada, U.K., Greece, Italy
            ",2006,"ALLISTON, Christabel",UK,yes,yes,yes
"
              To study psychosocial rehabilitation/recovery mental health services - Canada, U.K., Greece, Italy
            ",2006,"ALLISTON, Christabel",Greece,yes,yes,yes
"
              To study psychosocial rehabilitation/recovery mental health services - Canada, U.K., Greece, Italy
            ",2006,"ALLISTON, Christabel",Italy,yes,yes,yes
"
              To study inter-agency co-operation between police and health agencies to determine best practice in the identification and reduction of critical incidents involving persons affected by mental health issues - Japan, China, U.K., Ireland, USA
            ",2006,"ASHBY, Murray",Japan,yes,yes,yes
"
              To study inter-agency co-operation between police and health agencies to determine best practice in the identification and reduction of critical incidents involving persons affected by mental health issues - Japan, China, U.K., Ireland, USA
            ",2006,"ASHBY, Murray",China,yes,yes,yes
"
              To study inter-agency co-operation between police and health agencies to determine best practice in the identification and reduction of critical incidents involving persons affected by mental health issues - Japan, China, U.K., Ireland, USA
            ",2006,"ASHBY, Murray",UK,yes,yes,yes
"
              To study inter-agency co-operation between police and health agencies to determine best practice in the identification and reduction of critical incidents involving persons affected by mental health issues - Japan, China, U.K., Ireland, USA
            ",2006,"ASHBY, Murray",Ireland,yes,yes,yes
"
              To study inter-agency co-operation between police and health agencies to determine best practice in the identification and reduction of critical incidents involving persons affected by mental health issues - Japan, China, U.K., Ireland, USA
            ",2006,"ASHBY, Murray",USA,yes,yes,yes
"
              The Donald Mackay Churchill Fellowship to investigate how major sea ports manage port security relative to the International Maritime Organisation (IMO) requirements including strategies used to tackle organised crime - Hong Kong, U.K., Netherlands, USA, 
            ",2006,"ASHWORTH, Kenneth",UK,yes,yes,yes
"
              The Donald Mackay Churchill Fellowship to investigate how major sea ports manage port security relative to the International Maritime Organisation (IMO) requirements including strategies used to tackle organised crime - Hong Kong, U.K., Netherlands, USA, 
            ",2006,"ASHWORTH, Kenneth",Netherlands,yes,yes,yes
"
              The Donald Mackay Churchill Fellowship to investigate how major sea ports manage port security relative to the International Maritime Organisation (IMO) requirements including strategies used to tackle organised crime - Hong Kong, U.K., Netherlands, USA, 
            ",2006,"ASHWORTH, Kenneth",USA,yes,yes,yes
"
              The A.V. Jennings Churchill Fellowship to explore innovative architectural design, materials, methods of construction and tenure for affordable housing - USA, Canada, U.K.
            ",2006,"ATKINSON, Eloise",USA,yes,yes,yes
"
              The A.V. Jennings Churchill Fellowship to explore innovative architectural design, materials, methods of construction and tenure for affordable housing - USA, Canada, U.K.
            ",2006,"ATKINSON, Eloise",Canada,yes,yes,yes
"
              The A.V. Jennings Churchill Fellowship to explore innovative architectural design, materials, methods of construction and tenure for affordable housing - USA, Canada, U.K.
            ",2006,"ATKINSON, Eloise",UK,yes,yes,yes
"
              The Peter Mitchell Churchill Fellowship to investigate the processing, packaging, marketing and storage of premium dried petals and their value adding potential for Australian flower growers - USA, Canada, U.K., Israel, United Arab Emirates, China, New Zealand
            ",2006,"BENJAMIN (NOW SAMMON), Sarah",USA,yes,yes,yes
"
              The Peter Mitchell Churchill Fellowship to investigate the processing, packaging, marketing and storage of premium dried petals and their value adding potential for Australian flower growers - USA, Canada, U.K., Israel, United Arab Emirates, China, New Zealand
            ",2006,"BENJAMIN (NOW SAMMON), Sarah",Canada,yes,yes,yes
"
              The Peter Mitchell Churchill Fellowship to investigate the processing, packaging, marketing and storage of premium dried petals and their value adding potential for Australian flower growers - USA, Canada, U.K., Israel, United Arab Emirates, China, New Zealand
            ",2006,"BENJAMIN (NOW SAMMON), Sarah",UK,yes,yes,yes
"
              The Peter Mitchell Churchill Fellowship to investigate the processing, packaging, marketing and storage of premium dried petals and their value adding potential for Australian flower growers - USA, Canada, U.K., Israel, United Arab Emirates, China, New Zealand
            ",2006,"BENJAMIN (NOW SAMMON), Sarah",Israel,yes,yes,yes
"
              The Peter Mitchell Churchill Fellowship to investigate the processing, packaging, marketing and storage of premium dried petals and their value adding potential for Australian flower growers - USA, Canada, U.K., Israel, United Arab Emirates, China, New Zealand
            ",2006,"BENJAMIN (NOW SAMMON), Sarah",United Arab Emirates,yes,yes,yes
"
              The Peter Mitchell Churchill Fellowship to investigate the processing, packaging, marketing and storage of premium dried petals and their value adding potential for Australian flower growers - USA, Canada, U.K., Israel, United Arab Emirates, China, New Zealand
            ",2006,"BENJAMIN (NOW SAMMON), Sarah",China,yes,yes,yes
"
              The Peter Mitchell Churchill Fellowship to investigate the processing, packaging, marketing and storage of premium dried petals and their value adding potential for Australian flower growers - USA, Canada, U.K., Israel, United Arab Emirates, China, New Zealand
            ",2006,"BENJAMIN (NOW SAMMON), Sarah",New Zealand,yes,yes,yes
"
              To examine how to make cycling safe, convenient and feasible for Australian communities - Netherlands, Denmark, Germany, USA, Canada
            ",2006,"BERKELEY, Peter",Netherlands,yes,yes,yes
"
              To examine how to make cycling safe, convenient and feasible for Australian communities - Netherlands, Denmark, Germany, USA, Canada
            ",2006,"BERKELEY, Peter",Denmark,yes,yes,yes
"
              To examine how to make cycling safe, convenient and feasible for Australian communities - Netherlands, Denmark, Germany, USA, Canada
            ",2006,"BERKELEY, Peter",Germany,yes,yes,yes
"
              To examine how to make cycling safe, convenient and feasible for Australian communities - Netherlands, Denmark, Germany, USA, Canada
            ",2006,"BERKELEY, Peter",USA,yes,yes,yes
"
              To examine how to make cycling safe, convenient and feasible for Australian communities - Netherlands, Denmark, Germany, USA, Canada
            ",2006,"BERKELEY, Peter",Canada,yes,yes,yes
"
              The Jack Green Churchill Fellowship to study on-farm practical applications of various methods of food safety systems - USA, Ireland, France, Denmark, Germany
            ",2006,"BLOOMFIELD, William",USA,yes,yes,yes
"
              The Jack Green Churchill Fellowship to study on-farm practical applications of various methods of food safety systems - USA, Ireland, France, Denmark, Germany
            ",2006,"BLOOMFIELD, William",Ireland,yes,yes,yes
